Model,Cluster,Multistage,Simple Random,Stratified,Systematic
GradientBoosting,0.9934640522875817,0.9869281045751634,0.922077922077922,0.9934640522875817,0.75
KNeighbors,0.8594771241830066,0.8529411764705882,0.8051948051948052,0.869281045751634,0.5
LogisticRegression,0.9183006535947712,0.9117647058823529,0.8701298701298701,0.8986928104575164,0.8125
RandomForest,0.9869281045751634,0.9967320261437909,0.935064935064935,1.0,0.75
SVM,0.6535947712418301,0.6535947712418301,0.7142857142857143,0.6633986928104575,0.5625
